,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
304,num_of_word_30_num_of_word_31_mul,75,71,64,4,127,68.2
424,num_of_word_15_num_of_word_7_div,49,40,79,55,117,68.0
287,num_of_word_12_cnt_Z_mul,39,29,104,112,55,67.8
458,num_of_word_3_num_of_word_0_div,106,60,44,53,75,67.6
381,num_of_word_6_num_of_word_4_div,28,53,63,27,166,67.4
354,num_of_word_10_num_of_word_4_div,50,82,70,23,111,67.2
369,num_of_word_43_cnt_Z_mul,44,140,75,10,65,66.8
315,num_of_word_39_num_of_word_37_mul,64,90,52,50,78,66.8
306,cnt_X_cnt_Z_div,80,54,84,76,40,66.8
331,num_of_word_8_num_of_word_4_div,92,71,34,60,75,66.4
274,num_of_word_3_num_of_word_5_mul,109,21,99,31,72,66.4
298,num_of_word_40_num_of_word_19_div,66,79,3,14,170,66.4
372,num_of_word_25_num_of_word_14_div,48,46,96,31,109,66.0
344,num_of_word_27_num_of_word_28_div,41,19,155,49,64,65.6
438,num_of_word_5_num_of_word_2_div,87,20,56,36,128,65.4
393,num_of_word_11_cnt_X_mul,23,68,50,64,121,65.2
454,num_of_word_19_cnt_Y_mul,26,97,84,61,58,65.2
342,num_of_word_22_num_of_word_24_mul,24,110,68,48,76,65.2
291,num_of_word_1_num_of_word_7_div,56,37,108,56,68,65.0
413,num_of_word_17_num_of_word_24_div,55,64,87,40,79,65.0
361,num_of_word_8_num_of_word_14_div,37,25,111,96,56,65.0
426,cnt_Y_num_of_word_34_mul,87,100,29,69,40,65.0
441,num_of_word_25_num_of_word_4_div,105,98,25,45,51,64.8
442,num_of_word_7_num_of_word_14_div,53,83,39,31,118,64.8
452,num_of_word_5_num_of_word_9_mul,68,45,78,64,68,64.6
366,num_of_word_8_cnt_Y_div,65,91,65,16,85,64.4
356,num_of_word_5_num_of_word_0_div,98,50,93,13,68,64.4
412,num_of_word_3_num_of_word_17_mul,102,13,111,9,87,64.4
434,num_of_word_23_num_of_word_29_div,22,29,60,21,188,64.0
295,num_of_word_5_cnt_Z_div,45,22,49,52,151,63.8
437,num_of_word_11_num_of_word_10_div,60,22,68,46,122,63.6
318,num_of_word_12_num_of_word_3_div,33,45,79,39,121,63.4
448,num_of_word_8_num_of_word_9_div,33,37,32,56,159,63.4
463,cnt_Y_num_of_word_0_div,46,22,91,66,92,63.4
445,num_of_word_11_num_of_word_18_mul,46,19,100,17,134,63.2
289,num_of_word_11_cnt_Z_mul,48,63,36,92,76,63.0
367,num_of_word_26_num_of_word_20_div,66,52,51,45,101,63.0
352,num_of_word_11_num_of_word_15_mul,52,16,98,29,119,62.8
409,num_of_word_18_num_of_word_21_mul,20,13,95,69,117,62.8
